fold,model,weighting_method,train_start,train_end,test_start,test_end,factor_weights,OOS_return,annualized_return,volatility,Sharpe,max_drawdown,turnover,transaction_cost,benchmark_return,annualized_excess_return,information_ratio,tracking_error,beta,jensen_alpha
2,Model_B,rolling_ic_weight,2019-02-19,2022-03-28,2022-03-29,2022-09-29,"{""volatility_20"": 1.0}",0.015431021463994554,0.031100159351411305,0.24275839351109738,0.2482973058714242,-0.16743310687587343,13.47785138478729,0.013477851384787297,-0.07745747227290989,0.2031196942066212,0.6701596645392025,0.3030914943922879,0.05309490715532817,0.06786051422431214
3,Model_B,rolling_ic_weight,2019-08-21,2022-09-29,2022-09-30,2023-04-11,"{""volatility_20"": 1.0}",0.11859714163902213,0.25125956528299054,0.15434560138443518,1.529631370919007,-0.07603493955996099,10.631603945926194,0.010631603945926195,0.07133525295651677,0.0837858629249358,0.37486143864534177,0.22351155463660805,0.05377705757187693,0.22790130472341644
4,Model_B,rolling_ic_weight,2020-03-03,2023-04-11,2023-04-12,2023-10-19,"{""volatility_20"": 1.0}",-0.019694578261794438,-0.03900128011067894,0.13631792863884068,-0.22431507062666092,-0.0919571229436057,12.537491616364855,0.012537491616364853,-0.13819250515225012,0.256775771876334,1.3687945881573522,0.18759262645975328,0.085212348664947,-0.006092061863606954
5,Model_B,rolling_ic_weight,2020-09-03,2023-10-19,2023-10-20,2024-04-25,"{""volatility_20"": 1.0}",0.009799705954746774,0.01969544614629304,0.22711108021133924,0.19892938108567815,-0.20881285745154177,12.594779711218067,0.01259477971121807,-0.0009225875467649969,0.03653839572657897,0.1432146372388787,0.2551303165027313,0.18148819074842976,0.04361088689609026
6,Model_B,rolling_ic_weight,2021-03-16,2024-04-25,2024-04-26,2024-11-04,"{""volatility_20"": 1.0}",0.07630869548324015,0.1584404079728341,0.26931957841065834,0.678954679887307,-0.18698143048128135,11.557571269900038,0.011557571269900039,0.1174071178490097,-0.06939428460819994,-0.19669007846627137,0.35281029500478717,0.0781546941621717,0.16314126085860975
7,Model_B,rolling_ic_weight,2021-09-15,2024-11-04,2024-11-05,2025-05-14,"{""volatility_20"": 1.0}",0.08432314832262744,0.17575668998829475,0.21116452337315084,0.8742262238218156,-0.12434878202888755,10.763100995732573,0.010763100995732576,-0.0003929263123735316,0.16860590247501617,0.59282700010526,0.28440995846187705,-0.04419587933776813,0.18531268297826206
8,Model_B,rolling_ic_weight,2022-03-29,2025-05-14,2025-05-15,2025-11-17,"{""volatility_20"": 1.0}",0.24116029175916553,0.540478869839697,0.11550741628239931,3.8014071522797885,-0.046501988635607394,11.178596491228069,0.011178596491228073,0.16606774683569925,0.12230684641650856,0.6595397307543363,0.18544272727379502,-0.059594798517128456,0.45796938942144105
9,Model_B,rolling_ic_weight,2022-09-30,2025-11-17,2025-11-18,2025-12-24,"{""volatility_20"": 1.0}",0.0008056467405923584,0.007544660833493255,0.1469676216355066,0.12261745441372987,-0.03527827041905496,3.180445708866761,0.003180445708866762,0.007831580778808522,-0.06389175911029239,-0.31777078830508204,0.20106240555048083,6.192001034894345e-05,0.018015723619947813
0,Model_B,rolling_icir_weight,2018-01-30,2021-03-15,2021-03-16,2021-09-14,"{""volatility_20"": 1.0}",0.11151550977701197,0.23546672847485084,0.13211346910224936,1.6667267001410693,-0.07832951790306919,9.23169855302162,0.009231698553021616,-0.0235088987477019,0.25152060189363407,1.1810438528300216,0.212964659433212,0.07332914047261026,0.22249397580180352
1,Model_B,rolling_icir_weight,2018-08-08,2021-09-14,2021-09-15,2022-03-28,"{""volatility_20"": 1.0}",0.01368647702239878,0.027560273698082227,0.2052540325385792,0.2352612160027947,-0.16174187662282324,10.891594829901281,0.010891594829901279,-0.15632804301670122,0.3721850912195595,1.4416836016592505,0.25816003649566893,0.11508611951152903,0.08556433657933643
2,Model_B,rolling_icir_weight,2019-02-19,2022-03-28,2022-03-29,2022-09-29,"{""volatility_20"": 1.0}",0.015431021463994554,0.031100159351411305,0.24275839351109738,0.2482973058714242,-0.16743310687587343,13.47785138478729,0.013477851384787297,-0.07745747227290989,0.2031196942066212,0.6701596645392025,0.3030914943922879,0.05309490715532817,0.06786051422431214
3,Model_B,rolling_icir_weight,2019-08-21,2022-09-29,2022-09-30,2023-04-11,"{""volatility_20"": 1.0}",0.11859714163902213,0.25125956528299054,0.15434560138443518,1.529631370919007,-0.07603493955996099,10.631603945926194,0.010631603945926195,0.07133525295651677,0.0837858629249358,0.37486143864534177,0.22351155463660805,0.05377705757187693,0.22790130472341644
4,Model_B,rolling_icir_weight,2020-03-03,2023-04-11,2023-04-12,2023-10-19,"{""volatility_20"": 1.0}",-0.019694578261794438,-0.03900128011067894,0.13631792863884068,-0.22431507062666092,-0.0919571229436057,12.537491616364855,0.012537491616364853,-0.13819250515225012,0.256775771876334,1.3687945881573522,0.18759262645975328,0.085212348664947,-0.006092061863606954
5,Model_B,rolling_icir_weight,2020-09-03,2023-10-19,2023-10-20,2024-04-25,"{""volatility_20"": 1.0}",0.009799705954746774,0.01969544614629304,0.22711108021133924,0.19892938108567815,-0.20881285745154177,12.594779711218067,0.01259477971121807,-0.0009225875467649969,0.03653839572657897,0.1432146372388787,0.2551303165027313,0.18148819074842976,0.04361088689609026
