factor_name,variant,scope,horizon,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations,Q5-Q1,monotonicity
momentum_20,remove_extreme_1pct_each_tail,full,5,-0.030492767777682322,-0.05343614067028474,0.16153642362692033,0.16602215657502833,-0.18876713432821504,-0.3218615019383633,0.4272300469483568,-8.264896879681341,0.0,1917,-0.00438507195427672,0.25
momentum_20,remove_extreme_1pct_each_tail,full,10,-0.03638952872422995,-0.0616669337552854,0.15342741779642932,0.1571688814237608,-0.23717748266162136,-0.3923609635486188,0.3980125523012552,-10.370922747500218,0.0,1912,-0.007939312600812988,0.25
momentum_20,remove_extreme_1pct_each_tail,full,20,-0.03787529484764693,-0.06669041657586151,0.15076792554372392,0.15747425719001612,-0.25121586511888955,-0.42350043598167036,0.3874868559411146,-10.956007462022642,0.0,1902,-0.01239123024052449,0.25
momentum_20,remove_extreme_1pct_each_tail,full,40,-0.029554156287051814,-0.05909766008376433,0.14681587435809038,0.15662750043796758,-0.20130082265469418,-0.37731343422140606,0.4022316684378321,-8.73283710492423,0.0,1882,-0.012046297191974682,0.25
momentum_20,raw,2018,5,-0.07523754822407744,-0.06805307443345245,0.18540979125233545,0.17644307714791602,-0.40579058805843804,-0.38569421670424675,0.34080717488789236,-6.05974572920096,1.3633689732728271e-09,223,-0.014876836850461636,0.25
momentum_20,raw,2019,5,-0.03861520633978224,-0.09599048300887457,0.16293875066622268,0.15230889842226747,-0.23699215921254269,-0.630235554213954,0.4016393442622951,-3.70193586936436,0.00021396070575274706,244,-0.008108016619255585,0.0
momentum_20,raw,2020,5,-0.010882876025035447,-0.0229742073630781,0.17839241001618697,0.17899891859566874,-0.06100526375560461,-0.12834830256697433,0.4691358024691358,-0.9509779471846259,0.34161557077496063,243,0.0007146853761478202,0.75
momentum_20,raw,2021,5,-0.007414637846585219,-0.026971917268432354,0.15911120761514616,0.169456483935435,-0.0466003492633878,-0.1591672188755491,0.5020576131687243,-0.7264275531717832,0.4675767051562678,243,0.0008007833646641905,0.5
momentum_20,raw,2022,5,-0.037413399427616664,-0.04388071542770915,0.1459894943341017,0.14643238928889046,-0.25627460111612477,-0.2996653652979648,0.43388429752066116,-3.986697182491966,6.699944843013839e-05,242,-0.004277013053517646,0.25
momentum_20,raw,2023,5,-0.017367331910448862,-0.03411605754945324,0.17431967006729446,0.139746490942479,-0.09962921512956265,-0.24412818754422774,0.4628099173553719,-1.5498668596929566,0.12117347537199885,242,0.00030824427625408124,0.5
momentum_20,raw,2024,5,-0.06764743675537127,-0.07457116641157348,0.1831504899698398,0.19561720917732586,-0.3693543859288123,-0.3812096426750223,0.3347107438016529,-5.745805800927639,9.148425572647056e-09,242,-0.011913507827471113,0.0
momentum_20,raw,2025,5,-0.034801412457846424,-0.08730425597861506,0.1618429719708958,0.15214752467697937,-0.2150319660720563,-0.5738131866684559,0.42857142857142855,-3.31735160195746,0.000908751764742588,238,-0.004612307158004458,0.0
momentum_60,raw,full,1,-0.009485624485803175,-0.03197666542865363,0.1868753202362584,0.17642310555742943,-0.0507591075900815,-0.181249872728516,0.4922749067661161,-2.1991057512707153,0.027870403688996515,1877,-0.0007185869920026509,0.0
