test,factor_name,variant,horizon,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations,Q5-Q1,monotonicity,robustness_conclusion
window_preprocess,volatility_40,percentile_zscore,10,0.019268214414619667,0.06904812970911908,0.17662529262112128,0.1901275476766039,0.10909091290765413,0.3631674134174707,0.5406976744186046,4.745141221493415,2.0836091696452286e-06,1892,0.0020790362411029135,0.5,ROBUST
window_preprocess,volatility_40,percentile_zscore,20,0.02618477352500929,0.0797610117116634,0.17967113845887125,0.19197851490470966,0.14573722718968177,0.4154684275542684,0.5515409139213603,6.322375876992707,2.575717417130363e-10,1882,0.00227973094256352,0.5,ROBUST
window_preprocess,volatility_40,percentile_zscore,40,0.0304594474269123,0.09009131451404277,0.18003925451532388,0.18352499612156845,0.16918225699673609,0.490893973125958,0.5472610096670247,7.300366318592032,2.8688162956314045e-13,1862,0.002024286639448166,0.5,ROBUST
window_preprocess,volatility_40,percentile_rank,1,0.0019814376206723737,0.04003214753233708,0.1752838304616439,0.1985056092024825,0.01130416659342664,0.20166758860452616,0.503426462836057,0.4923480414905452,0.6224733235720876,1897,8.876231038134994e-05,0.5,ROBUST
window_preprocess,volatility_40,percentile_rank,5,0.013595146582158059,0.059908795872053694,0.16951552257933714,0.19204750709819507,0.0802000098592459,0.31194779238358955,0.5250395361096468,3.493076420572515,0.0004774898405979222,1897,0.0009721640351598897,0.5,ROBUST
window_preprocess,volatility_40,percentile_rank,10,0.019241130338026366,0.06904054197807329,0.16698642468739391,0.19014094539038287,0.11522571594694973,0.3631019180867357,0.5412262156448203,5.011987524376102,5.387069745843576e-07,1892,0.0020790362411029135,0.5,ROBUST
window_preprocess,volatility_40,percentile_rank,20,0.024022176937461726,0.07975041331152445,0.17227666128061073,0.19198587486307264,0.13943953150063373,0.41539729612089277,0.5297555791710946,6.049169091925662,1.4559478067610598e-09,1882,0.00227973094256352,0.5,ROBUST
window_preprocess,volatility_40,percentile_rank,40,0.026321557503021818,0.09008276143089317,0.16800162708761218,0.18352463546362435,0.15667442011912913,0.4908483332677595,0.4983888292158969,6.760641925025828,1.3738121751316612e-11,1862,0.002024286639448166,0.5,ROBUST
window_preprocess,volatility_60,mad_zscore,1,0.0011098285339403856,0.038395714079200026,0.18272861901005513,0.20270621119314972,0.006073643745314544,0.18941557761451355,0.5034629728289824,0.26313671625898605,0.7924452053345667,1877,4.267084177835491e-06,0.25,ROBUST
window_preprocess,volatility_60,mad_zscore,5,0.011159281741689824,0.05705918927621318,0.17806850183793582,0.19795679649133907,0.06266847660596449,0.28824061758702796,0.5194459243473628,2.715071518603298,0.006626145926984517,1877,0.0007072911817559143,0.5,ROBUST
