date,factor_name,window,rolling_mean_rank_ic
2025-07-01,momentum_20,60,-0.11195710875469755
2025-07-02,momentum_20,60,-0.11579846025440495
2025-07-03,momentum_20,60,-0.11905809240277013
2025-07-04,momentum_20,60,-0.11361516893409908
2025-07-07,momentum_20,60,-0.10990813745364322
2025-07-08,momentum_20,60,-0.1086344915084081
2025-07-09,momentum_20,60,-0.1122416685639123
2025-07-10,momentum_20,60,-0.11614847038244845
2025-07-11,momentum_20,60,-0.11731458189009787
2025-07-14,momentum_20,60,-0.11648161535941011
2025-07-15,momentum_20,60,-0.10910687013381094
2025-07-16,momentum_20,60,-0.10565541550942038
2025-07-17,momentum_20,60,-0.10335421327529244
2025-07-18,momentum_20,60,-0.10312649355371563
2025-07-21,momentum_20,60,-0.0999509971563022
2025-07-22,momentum_20,60,-0.09983427454041283
2025-07-23,momentum_20,60,-0.09091305225828304
2025-07-24,momentum_20,60,-0.08584768696067226
2025-07-25,momentum_20,60,-0.07621311425990074
2025-07-28,momentum_20,60,-0.07009809062407778
2025-07-29,momentum_20,60,-0.06710277744489125
2025-07-30,momentum_20,60,-0.0654532572446379
2025-07-31,momentum_20,60,-0.06435143419329094
2025-08-01,momentum_20,60,-0.06373617830981292
2025-08-04,momentum_20,60,-0.06588329400879028
2025-08-05,momentum_20,60,-0.06689670312087224
2025-08-06,momentum_20,60,-0.06746288772072093
2025-08-07,momentum_20,60,-0.06838681423472903
2025-08-08,momentum_20,60,-0.06819058084830325
2025-08-11,momentum_20,60,-0.06633163610008035
2025-08-12,momentum_20,60,-0.06708365623426231
2025-08-13,momentum_20,60,-0.06750864660815692
2025-08-14,momentum_20,60,-0.07176639704624625
2025-08-15,momentum_20,60,-0.07502976799109007
2025-08-18,momentum_20,60,-0.07775188464035418
2025-08-19,momentum_20,60,-0.08273457095797145
2025-08-20,momentum_20,60,-0.0857942827661246
2025-08-21,momentum_20,60,-0.08377796636230275
2025-08-22,momentum_20,60,-0.08345178843997202
2025-08-25,momentum_20,60,-0.08400533046698296
2025-08-26,momentum_20,60,-0.0845110679983945
2025-08-27,momentum_20,60,-0.08431513737920593
2025-08-28,momentum_20,60,-0.09420608071791392
2025-08-29,momentum_20,60,-0.10171563152314904
2025-09-01,momentum_20,60,-0.10443630601649692
2025-09-02,momentum_20,60,-0.10340249008189605
2025-09-03,momentum_20,60,-0.10276961128526686
2025-09-04,momentum_20,60,-0.09486066124687045
2025-09-05,momentum_20,60,-0.091181303014305
2025-09-08,momentum_20,60,-0.08835159032079365
2025-09-09,momentum_20,60,-0.08457269874416327
2025-09-10,momentum_20,60,-0.08073064683795021
2025-09-11,momentum_20,60,-0.07822917258702132
2025-09-12,momentum_20,60,-0.07322210660255554
2025-09-15,momentum_20,60,-0.07072352655378464
2025-09-16,momentum_20,60,-0.07167512317703631
2025-09-17,momentum_20,60,-0.07257733132250106
2025-09-18,momentum_20,60,-0.07192776323344625
2025-09-19,momentum_20,60,-0.07328310743611066
2025-09-22,momentum_20,60,-0.06760756748124883
2025-09-23,momentum_20,60,-0.0669425501076699
2025-09-24,momentum_20,60,-0.06523872181251691
2025-09-25,momentum_20,60,-0.06621209810248958
2025-09-26,momentum_20,60,-0.06778345975876739
2025-09-29,momentum_20,60,-0.06738875107522771
2025-09-30,momentum_20,60,-0.06714399857186525
2025-10-09,momentum_20,60,-0.06671584394918985
2025-10-10,momentum_20,60,-0.06616333534576556
2025-10-13,momentum_20,60,-0.06761124295773528
2025-10-14,momentum_20,60,-0.07086426100612657
2025-10-15,momentum_20,60,-0.07515795009489687
2025-10-16,momentum_20,60,-0.07717062805198029
2025-10-17,momentum_20,60,-0.07828562040016822
2025-10-20,momentum_20,60,-0.07716545016661347
2025-10-21,momentum_20,60,-0.07468568106668647
2025-10-22,momentum_20,60,-0.07119928528359622
2025-10-23,momentum_20,60,-0.07119339087245365
2025-10-24,momentum_20,60,-0.07253149326252323
2025-10-27,momentum_20,60,-0.07687494059791819
2025-10-28,momentum_20,60,-0.07841478745182617
2025-10-29,momentum_20,60,-0.07507234160775914
2025-10-30,momentum_20,60,-0.07012253926053015
2025-10-31,momentum_20,60,-0.060319219407787304
2025-11-03,momentum_20,60,-0.05324165661801865
2025-11-04,momentum_20,60,-0.04843117469803739
2025-11-05,momentum_20,60,-0.0451130231868794
2025-11-06,momentum_20,60,-0.044409662600852585
2025-11-07,momentum_20,60,-0.04303996194199846
2025-11-10,momentum_20,60,-0.04272901934868198
2025-11-11,momentum_20,60,-0.045890844096600165
2025-11-12,momentum_20,60,-0.04730223270913661
2025-11-13,momentum_20,60,-0.04722485361981507
2025-11-14,momentum_20,60,-0.04964728512093894
2025-11-17,momentum_20,60,-0.05036428083195076
2025-11-18,momentum_20,60,-0.04831418509775588
2025-11-19,momentum_20,60,-0.04714629431485829
2025-11-20,momentum_20,60,-0.0450918517868855
2025-11-21,momentum_20,60,-0.048245680103903725
2025-11-24,momentum_20,60,-0.049723930668856185
2025-11-25,momentum_20,60,-0.05176753561534548
2025-11-26,momentum_20,60,-0.05267584684497623
2025-11-27,momentum_20,60,-0.05356371866556102
2025-11-28,momentum_20,60,-0.04888169981467589
2025-12-01,momentum_20,60,-0.045557937694652106
2025-12-02,momentum_20,60,-0.046155067991731795
2025-12-03,momentum_20,60,-0.04864939609316879
2025-12-04,momentum_20,60,-0.050923242144705255
2025-12-05,momentum_20,60,-0.056919553475738946
2025-12-08,momentum_20,60,-0.057969020481342455
2025-12-09,momentum_20,60,-0.06044409986499668
2025-12-10,momentum_20,60,-0.06453408026036071
2025-12-11,momentum_20,60,-0.06969066320745228
2025-12-12,momentum_20,60,-0.07479225441139342
2025-12-15,momentum_20,60,-0.07867425183643478
2025-12-16,momentum_20,60,-0.08001134913074588
2025-12-17,momentum_20,60,-0.0781333627517067
2025-12-18,momentum_20,60,-0.07599445786662508
2025-12-19,momentum_20,60,-0.07468518076664553
2025-12-22,momentum_20,60,-0.07217252520038747
2025-12-23,momentum_20,60,-0.07363019246569598
2025-12-24,momentum_20,60,-0.07369090318741556
2018-01-30,momentum_20,120,
2018-01-31,momentum_20,120,
2018-02-01,momentum_20,120,
2018-02-02,momentum_20,120,
2018-02-05,momentum_20,120,
2018-02-06,momentum_20,120,
2018-02-07,momentum_20,120,
2018-02-08,momentum_20,120,
2018-02-09,momentum_20,120,
2018-02-12,momentum_20,120,
